"Country or Area Code";"Country or Area";"Year";"Value";"Value Footnotes"
"CYP";"Cyprus";"2005";"30.3";"5"
"CYP";"Cyprus";"2004";"30.1";"5"
"CZE";"Czech Republic";"2015";"25.9";"5"
"CZE";"Czech Republic";"2014";"25.9";"5"
"CZE";"Czech Republic";"2013";"26.5";"5"
"CZE";"Czech Republic";"2012";"26.1";"5"
"CZE";"Czech Republic";"2011";"26.4";"5"
"CZE";"Czech Republic";"2010";"26.6";"5"
"CZE";"Czech Republic";"2009";"26.2";"5"
"CZE";"Czech Republic";"2008";"26.3";"5"
"CZE";"Czech Republic";"2007";"26";"5"
"CZE";"Czech Republic";"2006";"26.7";"5"
"CZE";"Czech Republic";"2005";"26.9";"5"
"CZE";"Czech Republic";"2004";"27.5";"5"
"CZE";"Czech Republic";"1996";"25.8";"6"
"CZE";"Czech Republic";"1993";"26.6";"6"
"COD";"Dem. Rep. Congo";"2012";"42.1";"1"
"COD";"Dem. Rep. Congo";"2004";"42.2";"1"
"DNK";"Denmark";"2015";"28.2";"5"
"DNK";"Denmark";"2014";"28.4";"5"
"DNK";"Denmark";"2013";"28.5";"5"
"DNK";"Denmark";"2012";"27.8";"5"
"DNK";"Denmark";"2011";"27.3";"5"
"DNK";"Denmark";"2010";"27.2";"5"
"DNK";"Denmark";"2009";"26.7";"5"
"DNK";"Denmark";"2008";"25.2";"5"
"DNK";"Denmark";"2007";"26.2";"5"
"DNK";"Denmark";"2006";"25.9";"5"
"DNK";"Denmark";"2005";"25.2";"5"
"DNK";"Denmark";"2004";"24.9";"5"
"DNK";"Denmark";"2003";"25.6";"5"
"DJI";"Djibouti";"2013";"44.1";"1"
"DJI";"Djibouti";"2012";"45.1";"1"
"DJI";"Djibouti";"2002";"40";"1"
"DOM";"Dominican Republic";"2016";"45.3";"5"
"DOM";"Dominican Republic";"2015";"44.7";"5"
"DOM";"Dominican Republic";"2014";"44.1";"5"
"DOM";"Dominican Republic";"2013";"47";"5"
"DOM";"Dominican Republic";"2012";"45.6";"5"
"DOM";"Dominican Republic";"2011";"47.4";"5"
"DOM";"Dominican Republic";"2010";"46.9";"5"
"DOM";"Dominican Republic";"2009";"48.5";"5"
"DOM";"Dominican Republic";"2008";"47.8";"5"
"DOM";"Dominican Republic";"2007";"48.6";"5"
"DOM";"Dominican Republic";"2006";"51.8";"5"
"DOM";"Dominican Republic";"2005";"49.9";"5"
"DOM";"Dominican Republic";"2004";"52";"5"
"DOM";"Dominican Republic";"2003";"52";"5"
"DOM";"Dominican Republic";"2002";"50";"5"
"DOM";"Dominican Republic";"2001";"50.4";"5"
"DOM";"Dominican Republic";"2000";"52";"5"
"DOM";"Dominican Republic";"1997";"48.9";"5"
"DOM";"Dominican Republic";"1996";"47.4";"5"
"DOM";"Dominican Republic";"1992";"51.4";"6"
"DOM";"Dominican Republic";"1989";"50.5";"6"
"DOM";"Dominican Republic";"1986";"47.8";"6"
"ECU";"Ecuador";"2016";"45";"5"
"ECU";"Ecuador";"2015";"46";"5"
"ECU";"Ecuador";"2014";"45";"5"
"ECU";"Ecuador";"2013";"46.9";"5"
"ECU";"Ecuador";"2012";"46.1";"5"
"ECU";"Ecuador";"2011";"45.9";"5"
"ECU";"Ecuador";"2010";"48.7";"5"
"ECU";"Ecuador";"2009";"48.4";"5"
"ECU";"Ecuador";"2008";"49.7";"5"
"ECU";"Ecuador";"2007";"53.3";"5"
"ECU";"Ecuador";"2006";"52.2";"5"
"ECU";"Ecuador";"2005";"53.1";"5"
"ECU";"Ecuador";"2004";"53.9";"5"
"ECU";"Ecuador";"2003";"53.4";"5"
"ECU";"Ecuador";"2000";"56.4";"5"
"ECU";"Ecuador";"1999";"58.6";"5"
"ECU";"Ecuador";"1998";"49.7";"5"
"ECU";"Ecuador";"1994";"53.4";"5"
"ECU";"Ecuador";"1987";"50.5";"6"
"EGY";"Egypt";"2015";"31.8";"8"
"EGY";"Egypt";"2012";"29.8";"8"
"EGY";"Egypt";"2010";"31.5";"8"
"EGY";"Egypt";"2008";"31.1";"8"
"EGY";"Egypt";"2004";"31.8";"8"
"EGY";"Egypt";"1999";"32.8";"9"
"EGY";"Egypt";"1995";"30.1";"9"
"EGY";"Egypt";"1990";"32";"9"
"SLV";"El Salvador";"2016";"40";"5"
"SLV";"El Salvador";"2015";"40.6";"5"
"SLV";"El Salvador";"2014";"41.6";"5"
"SLV";"El Salvador";"2013";"43.4";"5"
"SLV";"El Salvador";"2012";"41.8";"5"
"SLV";"El Salvador";"2011";"42.3";"5"
"SLV";"El Salvador";"2010";"43.5";"5"
"SLV";"El Salvador";"2009";"45.8";"5"
"SLV";"El Salvador";"2008";"46.9";"5"
"SLV";"El Salvador";"2007";"45.2";"5"
"SLV";"El Salvador";"2006";"45.7";"5"
"SLV";"El Salvador";"2005";"48.5";"5"
"SLV";"El Salvador";"2004";"47.8";"5"
"SLV";"El Salvador";"2003";"50.4";"5"
"SLV";"El Salvador";"2002";"51.9";"5"
"SLV";"El Salvador";"2001";"51.4";"5"
"SLV";"El Salvador";"2000";"51.5";"5"
"SLV";"El Salvador";"1999";"52.2";"5"
"SLV";"El Salvador";"1998";"54.5";"5"
"SLV";"El Salvador";"1996";"51";"5"
"SLV";"El Salvador";"1995";"49.9";"5"
"SLV";"El Salvador";"1991";"54";"5"
"EST";"Estonia";"2015";"32.7";"5"
"EST";"Estonia";"2014";"34.6";"5"
"EST";"Estonia";"2013";"35.1";"5"
"EST";"Estonia";"2012";"32.9";"5"
"EST";"Estonia";"2011";"32.5";"5"
"EST";"Estonia";"2010";"32";"5"
"EST";"Estonia";"2009";"31.4";"5"
"EST";"Estonia";"2008";"31.9";"5"
"EST";"Estonia";"2007";"31.2";"5"
"EST";"Estonia";"2006";"33.7";"5"
"EST";"Estonia";"2005";"33.4";"5"
"EST";"Estonia";"2004";"33.6";"5"
"EST";"Estonia";"2003";"37.2";"5"
"EST";"Estonia";"1993";"39.5";"6"
"ETH";"Ethiopia";"2015";"39.1";"1"
"ETH";"Ethiopia";"2010";"33.2";"1"
"ETH";"Ethiopia";"2004";"29.8";"1"
"ETH";"Ethiopia";"1999";"30";"1"
"ETH";"Ethiopia";"1995";"44.6";"1"
"FJI";"Fiji";"2013";"36.4";"1"
"FJI";"Fiji";"2008";"40.4";"1"
"FJI";"Fiji";"2002";"38.1";"1"
"FIN";"Finland";"2015";"27.1";"5"
"FIN";"Finland";"2014";"26.8";"5"
"FIN";"Finland";"2013";"27.2";"5"
"FIN";"Finland";"2012";"27.1";"5"
"FIN";"Finland";"2011";"27.6";"5"
"FIN";"Finland";"2010";"27.7";"5"
"FIN";"Finland";"2009";"27.5";"5"
"FIN";"Finland";"2008";"27.8";"5"
"FIN";"Finland";"2007";"28.3";"5"
"FIN";"Finland";"2006";"28";"5"
"FIN";"Finland";"2005";"27.6";"5"
"FIN";"Finland";"2004";"27.9";"5"
"FIN";"Finland";"2003";"27.7";"5"
"FRA";"France";"2015";"32.7";"5"
"FRA";"France";"2014";"32.3";"5"
"FRA";"France";"2013";"32.5";"5"
"FRA";"France";"2012";"33.1";"5"
"FRA";"France";"2011";"33.3";"5"
"FRA";"France";"2010";"33.7";"5"
"FRA";"France";"2009";"32.7";"5"
"FRA";"France";"2008";"33";"5"
"FRA";"France";"2007";"32.4";"5"
"FRA";"France";"2006";"29.7";"5"
"FRA";"France";"2005";"29.8";"5"
"FRA";"France";"2004";"30.6";"5"
"FRA";"France";"2003";"31.4";"5"
"GAB";"Gabon";"2005";"42.2";"1"
"GEO";"Georgia";"2016";"36.5";"1"
"GEO";"Georgia";"2015";"36.4";"1"
"GEO";"Georgia";"2014";"37.3";"1"
"GEO";"Georgia";"2013";"38.4";"1"
"GEO";"Georgia";"2012";"38.8";"1"
"GEO";"Georgia";"2011";"39.5";"1"
"GEO";"Georgia";"2010";"40.1";"1"
"GEO";"Georgia";"2009";"38.1";"1"
"GEO";"Georgia";"2008";"38.2";"1"
"GEO";"Georgia";"2007";"38.3";"1"
"GEO";"Georgia";"2006";"36.9";"1"
"GEO";"Georgia";"2005";"37.3";"1"
"GEO";"Georgia";"2004";"36.3";"1"
"GEO";"Georgia";"2003";"36.7";"1"
"GEO";"Georgia";"2002";"37.3";"1"
"GEO";"Georgia";"2001";"39.6";"1"
"GEO";"Georgia";"2000";"40.5";"1"
"GEO";"Georgia";"1999";"40.1";"1"
"GEO";"Georgia";"1998";"41.3";"1"
"GEO";"Georgia";"1997";"40.7";"1"
"GEO";"Georgia";"1996";"37.1";"2"
"DEU";"Germany";"2015";"31.7";"5"
"DEU";"Germany";"2013";"31.1";"5"
"DEU";"Germany";"2011";"30.5";"5"
"DEU";"Germany";"2010";"30.2";"5"
"DEU";"Germany";"2007";"31.3";"5"
"DEU";"Germany";"2006";"31.3";"5"
"DEU";"Germany";"2004";"30.4";"5"
"DEU";"Germany";"2001";"30.3";"5"
"DEU";"Germany";"2000";"28.8";"5"
"DEU";"Germany";"1994";"29.2";"5"
"DEU";"Germany";"1991";"29.2";"5"
"GHA";"Ghana";"2012";"42.4";"1"
"GHA";"Ghana";"2005";"42.8";"1"
"GHA";"Ghana";"1998";"40.1";"1"
"GHA";"Ghana";"1991";"38.4";"1"
"GHA";"Ghana";"1988";"36";"2"
"GHA";"Ghana";"1987";"35.3";"2"
"GRC";"Greece";"2015";"36";"5"
"GRC";"Greece";"2014";"35.8";"5"
"GRC";"Greece";"2013";"36.1";"5"
"GRC";"Greece";"2012";"36.2";"5"
"GRC";"Greece";"2011";"34.8";"5"
"GRC";"Greece";"2010";"34.1";"5"
"GRC";"Greece";"2009";"33.6";"5"
"GRC";"Greece";"2008";"33.6";"5"
"GRC";"Greece";"2007";"34";"5"
"GRC";"Greece";"2006";"35.1";"5"
"GRC";"Greece";"2005";"34.6";"5"
"GRC";"Greece";"2004";"33.6";"5"
"GRC";"Greece";"2003";"32.8";"5"
"GTM";"Guatemala";"2014";"48.3";"5"
"GTM";"Guatemala";"2006";"54.6";"5"
"GTM";"Guatemala";"2000";"54.2";"5"
"GTM";"Guatemala";"1989";"59.6";"6"
"GTM";"Guatemala";"1986";"58.3";"6"
"GIN";"Guinea";"2012";"33.7";"1"
"GIN";"Guinea";"2007";"39.4";"1"
"GIN";"Guinea";"2002";"43";"1"
"GIN";"Guinea";"1994";"46.1";"1"
"GIN";"Guinea";"1991";"46.8";"2"
"GNB";"Guinea-Bissau";"2010";"50.7";"1"
"GNB";"Guinea-Bissau";"2002";"35.6";"1"
"GNB";"Guinea-Bissau";"1993";"43.6";"1"
"GUY";"Guyana";"1998";"44.6";"6"
"HTI";"Haiti";"2012";"41.1";"1"
"HND";"Honduras";"2016";"50";"5"
"HND";"Honduras";"2015";"49.6";"5"
"HND";"Honduras";"2014";"50.4";"5"
"HND";"Honduras";"2013";"52.6";"5"
"HND";"Honduras";"2012";"56.1";"5"
"HND";"Honduras";"2011";"56.2";"5"
"HND";"Honduras";"2010";"53.1";"5"
"HND";"Honduras";"2009";"51.3";"5"
"HND";"Honduras";"2008";"55.5";"5"
"HND";"Honduras";"2007";"55.8";"5"
"HND";"Honduras";"2006";"57.5";"5"
"HND";"Honduras";"2005";"59.5";"5"
"HND";"Honduras";"2004";"58.1";"5"
"HND";"Honduras";"2003";"58.1";"5"
"HND";"Honduras";"2002";"55.7";"5"
"HND";"Honduras";"2001";"55.2";"5"
"HND";"Honduras";"1999";"55.4";"5"
"HND";"Honduras";"1998";"57.4";"5"
"HND";"Honduras";"1997";"52.7";"5"
"HND";"Honduras";"1996";"55.7";"5"
"HND";"Honduras";"1995";"55.5";"5"
"HND";"Honduras";"1994";"55";"5"
