_RAJ2000	_DEJ2000	GCVS	magMax	l_magMin	magMin	magCode	Period	SpType	HIP
293.9989009523	+04.1300297489	SU    Aql	12.40	<	16.0	P	393.00	S                	
297.6973653218	+12.8270896504	SW    Aql	13.30	 	16.0	P	247.00	                 	
301.7953965766	+12.9070542024	SY    Aql	 8.30	 	15.4	V	355.92	M5e-M7e          	
291.9013287721	+02.0556818136	TU    Aql	10.30	 	16.0	P	270.39	M4-M9            	
303.2066777470	+06.3000754340	TV    Aql	 9.90	<	14.0	V	243.22	M4e              	
303.6627267619	+04.7846091110	WZ    Aql	11.10	<	14.0	P	316.40	M4-M6ep          	
288.7585186457	+04.3011664826	XY    Aql	 9.50	 	17.0	V	423.40	M8               	
291.4229826308	-06.9546828115	ZZ    Aql	12.70	 	17.1	P	145.50	Me               	
285.1441633727	-06.9511434989	AK    Aql	10.80	<	17.0	P	298.00	M6e              	
286.8802332974	-08.2579990393	CN    Aql	11.50	 	15.0	P	358.00	                 	
295.3158494484	+01.3552204410	DT    Aql	11.00	<	16.0	P	288.00	M4               	
289.3571659435	-00.1916538149	FP    Aql	10.80	<	15.8	P	333.60	M8               	
292.6635937374	+02.1557770451	GH    Aql	14.30	<	17.3	P	146.00	                 	
292.9651223779	+00.6018376436	GK    Aql	13.60	<	16.8	P	196.00	                 	
293.3796948375	+01.5832312718	GO    Aql	13.40	<	17.4	P	154.80	                 	
285.0859886715	-08.6934424964	HS    Aql	13.60	 	16.7	P	267.00	M6               	
293.7843055050	+09.1062654085	KZ    Aql	12.70	 	16.0	P	330.00	                 	
294.9560944390	+12.6422868393	LY    Aql	13.50	<	17.4	P	432.00	                 	
297.8728760874	+14.9622118601	OW    Aql	12.30	 	14.8	P	194.40	N                	
304.5567470432	-06.1433981449	PY    Aql	11.00	<	12.5	P	120.00	Me               	
295.7669941887	+02.4337456007	QT    Aql	12.90	 	17.0	P	157.60	M3III:e          	
296.8590112216	+08.5448425010	QU    Aql	13.50	<	15.5	P	607.00	Se               	
305.3264612700	+01.3201367800	V0335 Aql	11.60	<	16.0	P	177.00	M1III:e          	
293.8669654869	+06.7499274931	V0386 Aql	12.70	 	18.5	P	334.80	M6-M9            	
294.9691883817	-00.5679375139	V0396 Aql	13.20	<	16.2	P	395.00	                 	
295.0578978741	+05.3477104862	V0397 Aql	13.40	 	17.5	P	183.60	                 	
295.4104648369	+01.8325800000	V0400 Aql	14.20	<	17.0	P	641.00	                 	
297.0407338442	+06.3313003922	V0422 Aql	14.00	 	18.0	P	247.90	M3III:e          	
299.8012387773	+06.1099044096	V0430 Aql	13.50	<	15.5	P	266.00	                 	
300.2557061802	+10.9763027221	V0432 Aql	13.00	<	15.5	P	248.00	M4e              	
301.1256401536	+11.7246834293	V0436 Aql	12.50	<	15.5	P	285.00	M4e              	
301.1200651995	+13.7375686136	V0437 Aql	13.50	<	15.5	P	192.00	                 	
301.1914005681	+07.6999996749	V0438 Aql	12.50	<	15.5	P	279.00	M3III:e          	
302.4690504804	+12.7711784026	V0442 Aql	12.50	<	15.5	P	308.00	M6.5             	
295.3055573744	+07.4072134746	V0456 Aql	13.10	 	16.4	P	350.00	                 	
301.6456651753	+10.8305379733	V0466 Aql	12.00	<	15.5	P	428.00	M5               	
299.0137083721	+14.4869943322	V0498 Aql	12.90	<	16.3	P	294.00	                 	
299.7743658233	-01.4110441746	V0503 Aql	12.50	<	16.0	P	138.20	                 	
300.8249856048	-01.5585229132	V0507 Aql	14.20	<	16.5	P	268.00	                 	
302.8106392460	-04.2825062614	V0514 Aql	13.00	 	16.0	P	291.00	                 	
303.4335021108	+02.9322317756	V0517 Aql	12.70	<	16.5	P	305.00	                 	
303.6498151625	-01.1691402408	V0519 Aql	12.70	<	16.5	P	350.00	Me               	
