RAJ2000	DEJ2000	name	alt_name	vmag	dimension	object_type	constell	notes
78.5252	-40.05	NGC 1851	NGC 1851	7.3	11	GB	COL	NA
82.1501	-66.2333	NGC 1978	NGC 1978	9.9	2.7	GB	DOR	NA
92.8751	-69.1333	NGC 2210	NGC 2210	10.2	1.7	GB	DOR	NA
102.2502	-36	NGC 2298	NGC 2298	9.4	6.8	GB	PUP	NA
114.5252	38.8834	NGC 2419	NGC 2419	10.4	4.1	GB	LYN	NA
138.0001	-64.8667	NGC 2808	NGC 2808	6.3	13.8	GB	CAR	NA
154.4002	-46.4167	NGC 3201	NGC 3201	6.8	18.2	GB	VEL	NA
182.5253	18.55	NGC 4147	NGC 4147	10.3	4	GB	COM	NA
186.4503	-72.6668	NGC 4372	NGC 4372	7.8	18.6	GB	MUS	NA
194.9003	-70.8834	NGC 4833	NGC 4833	7.4	13.5	GB	MUS	NA
199.1003	17.7	NGC 5053	NGC 5053	9.8	10.5	GB	COM	NA
206.6004	-51.3667	NGC 5286	NGC 5286	7.6	9.1	GB	CEN	NA
211.3754	28.5334	NGC 5466	NGC 5466	9.1	11	GB	BOO	NA
217.4004	-5.9833	NGC 5634	NGC 5634	9.6	4.9	GB	VIR	NA
219.9004	-26.5334	NGC 5694	NGC 5694	10.2	3.6	GB	HYA	NA
226.0004	-33.0667	NGC 5824	NGC 5824	9	6.2	GB	LUP	NA
229.3504	-21.0167	NGC 5897	NGC 5897	8.6	12.6	GB	LIB	NA
232.0004	-50.6667	NGC 5927	NGC 5927	8.3	12	GB	LUP	NA
233.8754	-50.6667	NGC 5946	NGC 5946	9.6	7.1	GB	NOR	NA
236.5254	-37.7834	NGC 5986	NGC 5986	7.1	9.8	GB	LUP	NA
246.4506	-72.2	NGC 6101	NGC 6101	9.3	10.7	GB	APS	NA
246.8254	-26.0333	NGC 6144	NGC 6144	9.1	9.3	GB	SCO	NA
246.9254	-38.85	NGC 6139	NGC 6139	9.2	5.5	GB	SCO	NA
251.7504	47.5334	NGC 6229	NGC 6229	9.4	4.5	GB	HER	NA
253.3504	-22.1833	NGC 6235	NGC 6235	10.2	5	GB	OPH	NA
256.1254	-24.7667	NGC 6284	NGC 6284	9	5.6	GB	OPH	NA
256.3004	-22.7	NGC 6287	NGC 6287	9.2	5.1	GB	OPH	NA
257.5504	-26.5833	NGC 6293	NGC 6293	8.2	7.9	GB	OPH	NA
258.6254	-29.4667	NGC 6304	NGC 6304	8.4	6.8	GB	OPH	NA
259.1504	-28.1333	NGC 6316	NGC 6316	9	4.9	GB	OPH	NA
260.3004	-19.5833	NGC 6342	NGC 6342	9.9	3	GB	OPH	NA
260.9004	-17.8167	NGC 6356	NGC 6356	8.4	7.2	GB	OPH	NA
261.0004	-26.35	NGC 6355	NGC 6355	9.6	5	GB	OPH	NA
261.3755	-48.4167	NGC 6352	NGC 6352	8.2	7.1	GB	ARA	NA
261.9254	-5.0833	NGC 6366	NGC 6366	10	8.3	GB	OPH	NA
262.9756	-67.05	NGC 6362	NGC 6362	8.3	10.7	GB	ARA	NA
264.0754	-44.7333	NGC 6388	NGC 6388	6.9	8.7	GB	SCO	NA
264.6504	-23.9167	NGC 6401	NGC 6401	9.5	5.6	GB	OPH	NA
265.1755	-53.6667	NGC 6397	NGC 6397	5.7	25.7	GB	ARA	NA
267.2254	-20.3667	NGC 6440	NGC 6440	9.7	5.4	GB	SGR	NA
267.5504	-37.05	NGC 6441	NGC 6441	7.4	7.8	GB	SCO	NA
267.7254	-34.6	NGC 6453	NGC 6453	9.9	3.5	GB	SCO	NA
269.7505	-44.2667	NGC 6496	NGC 6496	9.2	6.9	GB	SCO	NA
270.4504	-8.9667	NGC 6517	NGC 6517	10.3	4.3	GB	OPH	NA
270.9004	-30.0333	NGC 6522	NGC 6522	8.6	5.6	GB	SGR	NA
271.2004	-30.05	NGC 6528	NGC 6528	9.5	3.7	GB	SGR	NA
271.2004	-7.5833	NGC 6539	NGC 6539	9.6	6.9	GB	SER	NA
271.8254	-25	NGC 6544	NGC 6544	8.3	8.9	GB	SGR	NA
272.0005	-43.7	NGC 6541	NGC 6541	6.6	13.1	GB	CRA	NA
272.3254	-25.9	NGC 6553	NGC 6553	8.3	8.1	GB	SGR	NA
273.4004	-31.8333	NGC 6569	NGC 6569	8.7	5.8	GB	SGR	NA
274.6505	-52.2167	NGC 6584	NGC 6584	9.2	7.9	GB	TEL	NA
275.9254	-30.3667	NGC 6624	NGC 6624	8.3	5.9	GB	SGR	NA
277.7254	-25.5	NGC 6638	NGC 6638	9.2	5	GB	SGR	NA
277.9754	-23.4833	NGC 6642	NGC 6642	8.8	4.5	GB	SGR	NA
278.9504	-32.9833	NGC 6652	NGC 6652	8.9	3.5	GB	SGR	NA
283.2754	-8.7	NGC 6712	NGC 6712	8.2	7.2	GB	SCT	NA
284.9004	-36.6333	NGC 6723	NGC 6723	7.3	11	GB	SGR	NA
287.7255	-59.9833	NGC 6752	NGC 6752	5.4	20.4	GB	PAV	NA
287.8004	1.0333	NGC 6760	NGC 6760	9.1	6.6	GB	AQL	NA
308.5504	7.4	NGC 6934	NGC 6934	8.9	5.9	GB	DEL	NA
