RAJ2000	DEJ2000	HR	Name	HD	VarID	Vmag	B-V	SpType
#Sagittarius
286.352500	+13.863333	7235	 17Zet Aql	177724	11724    	 2.99	 0.01	  A0Vn
291.374583	 +3.114722	7377	 30Del Aql	182640	12004    	 3.36	 0.32	  F3IV
298.118333	 +1.005556	7570	 55Eta Aql	187929	Eta Aql  	 3.90	 0.89	  F6Ib
302.826250	 -0.821389	7710	 65The Aql	191692	         	 3.23	-0.07	  B9.5III
								
297.695833	 +8.868333	7557	 53Alp Aql	187642	         	 0.77	 0.22	  A7V
291.374583	 +3.114722	7377	 30Del Aql	182640	12004    	 3.36	 0.32	  F3IV
286.562083	 -4.882500	7236	 16Lam Aql	177756	         	 3.44	-0.09	  B9Vn
								
297.695833	 +8.868333	7557	 53Alp Aql	187642	         	 0.77	 0.22	  A7V
296.565000	+10.613333	7525	 50Gam Aql	186791	         	 2.72	 1.52	  K3II
298.828333	 +6.406667	7602	 60Bet Aql	188512	12557    	 3.71	 0.86	  G8IV
								
#Scutum
281.793750	 -4.747778	7063	   Bet Sct	173764	         	 4.22	 1.10	  G4IIa
278.801667	 -8.244167	6973	   Alp Sct	171443	11056    	 3.85	 1.33	  K3-III-IIIb
277.299583	-14.565833	6930	   Gam Sct	170296	         	 4.70	 0.06	  A3Vn
280.568333	 -9.052500	7020	   Del Sct	172748	Del Sct  	 4.72	 0.35	  F2IIIpDel Del
280.880417	 -8.275278	7032	   Eps Sct	173009	         	 4.90	 1.12	  G8IIb
281.793750	 -4.747778	7063	   Bet Sct	173764	         	 4.22	 1.10	  G4IIa
								
#Cassiopeia
002.294583	+59.149722	  21	 11Bet Cas	   432	Bet Cas  	 2.27	 0.34	  F2III-IV
010.127083	+56.537222	 168	 18Alp Cas	  3712	Alp Cas  	 2.23	 1.17	  K0IIIa
014.177083	+60.716667	 264	 27Gam Cas	  5394	Gam Cas  	 2.47	-0.15	  B0IVe
021.454167	+60.235278	 403	 37Del Cas	  8538	Del Cas  	 2.68	 0.13	  A5III-IV
028.598750	+63.670000	 542	 45Eps Cas	 11415	  652    	 3.38	-0.15	  B3III
								
#Cepheus
354.836667	+77.632500	8974	 35Gam Cep	222404	14656    	 3.21	 1.03	  K1III-IV
322.165000	+70.560833	8238	  8Bet Cep	205021	Bet Cep  	 3.23	-0.22	  B1IV
319.645000	+62.585556	8162	  5Alp Cep	203280	13660    	 2.44	 0.22	  A7V
325.876667	+58.780000	8316	   Mu  Cep	206936	Mu  Cep  	 4.08	 2.35	  M2-Ia
333.758333	+57.043611	8494	 23Eps Cep	211336	Eps Cep  	 4.19	 0.28	  F0IV
332.713750	+58.201111	8465	 21Zet Cep	210745	14066    	 3.35	 1.57	  K1.5Ib
337.292917	+58.415278	8571	 27Del Cep	213306	Del Cep  	 3.75	 0.60	  F5Ib-G2Ib
342.420000	+66.200556	8694	 32Iot Cep	216228	         	 3.52	 1.05	  K0-III
354.836667	+77.632500	8974	 35Gam Cep	222404	14656    	 3.21	 1.03	  K1III-IV
								
342.420000	+66.200556	8694	 32Iot Cep	216228	         	 3.52	 1.05	  K0-III
322.165000	+70.560833	8238	  8Bet Cep	205021	Bet Cep  	 3.23	-0.22	  B1IV
								
319.645000	+62.585556	8162	  5Alp Cep	203280	13660    	 2.44	 0.22	  A7V
311.322500	+61.838889	7957	  3Eta Cep	198149	         	 3.43	 0.92	  K0IV
307.395417	+62.994167	7850	  2The Cep	195725	         	 4.22	 0.20	  A7III
								
#Corona Borealis
233.232500	+31.359167	5778	  4The CrB	138749	 7134/5  	 4.14	-0.13	  B6Vnne
231.957083	+29.105833	5747	  3Bet CrB	137909	Bet CrB  	 3.68	 0.28	  F0p
233.672083	+26.714722	5793	  5Alp CrB	139006	Alp CrB  	 2.23	-0.02	  A0V+G5V
235.685833	+26.295556	5849	  8Gam CrB	140436	Gam CrB  	 3.84	 0.00	  B9IV+A3V
237.398750	+26.068333	5889	 10Del CrB	141714	Del CrB  	 4.63	 0.80	  G3.5III-IVFe-1
239.397083	+26.877778	5947	 13Eps CrB	143107	         	 4.15	 1.23	  K2IIIab
240.360833	+29.851111	5971	 14Iot CrB	143807	 7396    	 4.99	-0.07	  A0p:Hg:
								
#Crux
187.791250	-57.113333	4763	   Gam Cru	108903	 5672    	 1.63	 1.59	  M3.5III
186.649583	-63.099167	4730	   Alp1Cru	108248	         	 1.33	-0.24	  B0.5IV
								
191.930000	-59.688611	4853	   Bet Cru	111123	Bet Cru  	 1.25	-0.23	  B0.5III
183.786250	-58.748889	4656	   Del Cru	106490	Del Cru  	 2.80	-0.23	  B2IV
								
#Corvus
182.103333	-24.728889	4623	  1Alp Crv	105452	         	 4.02	 0.32	  F2III-IV
182.531250	-22.619722	4630	  2Eps Crv	105707	 5483    	 3.00	 1.33	  K2.5IIIaBa0.2:
183.951667	-17.541944	4662	  4Gam Crv	106625	 5515    	 2.59	-0.11	  B8IIIpHgMn
