RAJ2000	DEJ2000	tag
280.80417	-32.29194	MW1
268.02917	-26.47083	MW1
268.10417	-26.49639	MW1
270.85417	-27.88611	MW1
264.92917	-24.73139	MW1
266.39583	-25.47056	MW1
266.40833	-25.46056	MW1
256.62917	-19.445	MW1
265.4125	-24.69083	MW1
270.175	-27.17167	MW1
271.575	-27.86333	MW1
271.5375	-27.76528	MW1
268.35833	-26.12917	MW1
268.05	-25.88333	MW1
273.525	-28.63667	MW1
268.42083	-26.10333	MW1
265.9	-24.71806	MW1
274.19583	-28.94056	MW1
266.9375	-25.28417	MW1
248.13333	-13.05361	MW1
289.43333	-34.6575	MW1
268.67917	-26.16361	MW1
270.26667	-26.95361	MW1
264.65417	-23.90889	MW1
270.05417	-26.81583	MW1
268.80417	-26.15278	MW1
272.73333	-28.11333	MW1
266.64583	-24.89111	MW1
271.59583	-27.46861	MW1
286.0375	-33.385	MW1
270.4125	-26.83972	MW1
270.4	-26.83444	MW1
271.78333	-27.49306	MW1
266.825	-24.8875	MW1
268.6375	-25.86806	MW1
266.84167	-24.88694	MW1
268.62917	-25.85556	MW1
268.58333	-25.82472	MW1
268.3375	-25.68389	MW1
268.56667	-25.77778	MW1
264.83333	-23.68333	MW1
273.67083	-28.24	MW1
267.67083	-25.21833	MW1
273.89583	-28.3	MW1
269.825	-26.2875	MW1
268.18333	-25.42028	MW1
269.625	-26.16667	MW1
267.02083	-24.77917	MW1
269.63333	-26.16194	MW1
268.22917	-25.39861	MW1
229.64167	2.08278	MW1
269.64167	-26.11389	MW1
264.1625	-23.08833	MW1
272.47917	-27.48194	MW1
268.38333	-25.38222	MW1
268.39583	-25.3325	MW1
268.67917	-25.45556	MW1
271.575	-26.84306	MW1
291.32083	-34.4775	MW1
274.92917	-28.42417	MW1
263.57083	-22.43139	MW1
271.62083	-26.78583	MW1
268.24167	-24.99111	MW1
269.2875	-25.49917	MW1
271.5625	-26.64806	MW1
270.95417	-26.33528	MW1
264.01667	-22.52028	MW1
271.00833	-26.29528	MW1
274.87083	-28.13361	MW1
266.5875	-23.90194	MW1
268.82083	-25.10778	MW1
271.32917	-26.3725	MW1
253.925	-15.99444	MW1
270.74167	-26.06667	MW1
274	-27.62111	MW1
268.49167	-24.83306	MW1
267.99583	-24.52278	MW1
271.25417	-26.19222	MW1
273.72083	-27.34306	MW1
237.40417	-3.43028	MW1
275.1625	-27.99972	MW1
276.0875	-28.23139	MW1
271.91667	-26.1975	MW1
270.07083	-25.24167	MW1
260.29167	-19.58722	MW1
269.84583	-24.99083	MW1
257.2	-17.49972	MW1
269.13333	-24.57833	MW1
257.27917	-17.4575	MW1
269.7625	-24.80167	MW1
268.6125	-24.14528	MW1
269.98333	-24.86056	MW1
269.84167	-24.78472	MW1
277.50833	-28.44	MW1
267.40833	-23.45417	MW1
269.64583	-24.61556	MW1
269.82083	-24.69583	MW1
274.775	-27.13194	MW1
271.9	-25.70528	MW1
272.31667	-25.90778	MW1
268.67917	-24.01472	MW1
269.97083	-24.68028	MW1
272.66667	-26.03333	MW1
272.675	-25.98944	MW1
270.95	-25.13278	MW1
264.42083	-21.55778	MW1
270.39583	-24.835	MW1
274.85	-27.01194	MW1
269.3875	-24.29333	MW1
267.54583	-23.29306	MW1
278.69583	-28.71083	MW1
269.64167	-24.31	MW1
276.19583	-27.50556	MW1
285.99167	-31.43333	MW1
269.77083	-24.34194	MW1
269.62917	-24.24194	MW1
269.38333	-24.1125	MW1
263.9125	-21.04694	MW1
268.25833	-23.48833	MW1
259.8	-18.51639	MW1
267.74583	-23.15639	MW1
271.62917	-26.54444	MW1
283.7625	-30.47833	MW1
271.30833	-24.97944	MW1
270.02083	-24.30139	MW1
269.39167	-23.96806	MW1
281.5875	-29.50833	MW1
269.2	-23.73944	MW1
295.4375	-34.00028	MW1
270.22083	-24.21694	MW1
286.65	-31.30667	MW1
270.125	-24.11389	MW1
270.22083	-24.16667	MW1
271.8375	-24.9975	MW1
264	-20.70833	MW1
270.13333	-24.07	MW1
270.175	-24.07306	MW1
275.70417	-26.79333	MW1
270.17917	-24.08194	MW1
269.40417	-23.6675	MW1
293.34167	-33.235	MW1
270.92083	-24.37778	MW1
271.125	-24.47972	MW1
270.92917	-24.37306	MW1
275.57917	-26.62806	MW1
269.59583	-23.61111	MW1
271.22083	-24.44472	MW1
271.11667	-24.36611	MW1
275.325	-26.41278	MW1
246.7	-8.92611	MW1
269.975	-23.75083	MW1
272.57917	-25.06833	MW1
270.0125	-23.74639	MW1
270.50417	-23.96111	MW1
274.02083	-25.71	MW1
270.48333	-23.93	MW1
269.11667	-23.19278	MW1
270.36667	-23.84556	MW1
270.25	-23.77	MW1
270.56667	-23.90528	MW1
268.28333	-22.64472	MW1
271.69167	-24.39278	MW1
270.49583	-23.69306	MW1
270.25417	-23.53389	MW1
277.71667	-27.13139	MW1
274.47917	-25.59361	MW1
272.35417	-24.52778	MW1
266.45833	-21.32583	MW1
270.20417	-23.33944	MW1
268.30417	-22.31972	MW1
269.61667	-23.42167	MW1
269.39583	-22.87556	MW1
271.65	-24.01472	MW1
271.64167	-23.95	MW1
260.89583	-17.81306	MW1
268.63333	-22.22722	MW1
270.49167	-23.20722	MW1
272.4875	-24.10917	MW1
228.87083	5.275	MW1
271.7625	-23.6725	MW1
287.04167	-30.23	MW1
273.65833	-24.575	MW1
270.59583	-23.03139	MW1
270.35417	-22.9125	MW1
273.22917	-24.35972	MW1
270.6125	-22.96667	MW1
272.425	-23.88694	MW1
268.60833	-21.82833	MW1
268.55	-21.74194	MW1
266.19167	-20.39639	MW1
270.70833	-22.81667	MW1
271.84583	-23.3	MW1
273.18333	-23.94639	MW1
270.77083	-22.69722	MW1
272.27917	-23.4425	MW1
266.12083	-20.085	MW1
269.49583	-21.93806	MW1
270.55417	-22.46556	MW1
271.86667	-23.08333	MW1
265.42917	-19.57083	MW1
268.97083	-21.53167	MW1
269.97083	-22.0375	MW1
271.43333	-22.77278	MW1
249.12917	-8.95083	MW1
265.3	-19.39222	MW1
273.05417	-23.56556	MW1
272.6	-23.34028	MW1
274.74583	-24.37472	MW1
271.05	-22.49278	MW1
246.75833	-7.16972	MW1
267.22083	-20.35944	MW1
270.6125	-22.16889	MW1
270.55	-22.12611	MW1
270.05833	-21.84944	MW1
311.33333	-35.29833	MW1
263.05	-17.88444	MW1
276.1375	-24.87	MW1
266.05	-19.60944	MW1
250.75417	-9.84028	MW1
272.55833	-23.03139	MW1
277.73333	-25.49639	MW1
270.88333	-22.13806	MW1
267.79583	-20.46278	MW1
270.87917	-22.12556	MW1
270.5625	-21.91583	MW1
276.9625	-25.04667	MW1
274.65417	-23.91667	MW1
268.3125	-20.63306	MW1
270.52083	-21.80333	MW1
271.475	-22.28139	MW1
270.525	-21.7725	MW1
265.7875	-19.14722	MW1
267.3125	-20.00917	MW1
272.625	-22.77389	MW1
270.75417	-21.80306	MW1
270.75417	-21.77306	MW1
271.30833	-22.03167	MW1
259.25833	-15.08	MW1
271.22917	-21.97833	MW1
270.05417	-21.32667	MW1
270.84583	-21.75	MW1
270.44583	-21.46639	MW1
269.50417	-20.96722	MW1
272.05417	-22.26	MW1
271.47083	-21.94861	MW1
271.39167	-21.88278	MW1
274.3625	-23.37944	MW1
273.06667	-22.74194	MW1
274.95	-23.55417	MW1
271.39167	-21.75472	MW1
271.74583	-21.91528	MW1
272.08333	-22.07556	MW1
292.18333	-30.35389	MW1
271.83333	-21.87639	MW1
274.77083	-23.27833	MW1
271.5625	-21.62417	MW1
271.6125	-21.64917	MW1
294.99583	-30.96222	MW1
274.37917	-22.81611	MW1
271.65417	-21.43556	MW1
271.51667	-21.33167	MW1
266.43333	-18.53972	MW1
273.8	-22.48167	MW1
271.62083	-21.37583	MW1
272.425	-21.78222	MW1
275.3125	-23.21056	MW1
267.89583	-19.33056	MW1
293.94583	-30.50417	MW1
251.65417	-9.195	MW1
266.5375	-18.52417	MW1
314.78333	-34.76667	MW1
269.50417	-20.1325	MW1
271.775	-21.32111	MW1
273.4375	-22.155	MW1
273.425	-22.12111	MW1
284.16667	-26.95833	MW1
272.2	-21.42083	MW1
272.79583	-21.63139	MW1
271.37917	-20.88917	MW1
293.85417	46.56667	MW1
282.04167	-25.91528	MW1
267.12917	-18.55528	MW1
273.09583	-21.7025	MW1
273.95417	-22.1375	MW1
272.34167	-21.27139	MW1
270.25417	-20.17889	MW1
271.775	-20.95778	MW1
264.6375	-16.98333	MW1
262.42083	-15.66972	MW1
268.97917	-19.41806	MW1
273.19167	-21.625	MW1
266.98333	-18.29167	MW1
284.68333	-26.79361	MW1
274.65833	-21.06389	MW1
273.675	-21.83	MW1
273.49583	-21.67194	MW1
269.80417	-19.66639	MW1
273.41667	-21.51139	MW1
271.55833	-20.53056	MW1
271.55833	-20.52889	MW1
274.60833	-22.05083	MW1
271.57917	-20.51	MW1
271.06667	-20.19083	MW1
273.41667	-21.38222	MW1
272.40417	-20.77889	MW1
270.9875	-20.01111	MW1
277.975	-23.47639	MW1
272.1125	-20.58944	MW1
269.2375	-18.99611	MW1
285.35	-26.57	MW1
272.575	-20.76111	MW1
279.1	-23.90333	MW1
272.57083	-20.7275	MW1
276.7	-22.77417	MW1
276.5625	-22.69028	MW1
272.66667	-20.7475	MW1
272.6	-20.715	MW1
271.25833	-19.98806	MW1
272.59167	-20.68056	MW1
273.2875	-21.03	MW1
270.8625	-19.7675	MW1
272.64167	-20.65333	MW1
272.1625	-20.40917	MW1
289.17083	-27.82611	MW1
271.025	-19.73056	MW1
272.075	-20.2675	MW1
272.24583	-20.33778	MW1
268.075	-18.07611	MW1
271.7375	-20.01111	MW1
271.63333	-20.34667	MW1
272.3625	-20.325	MW1
273.62917	-20.88639	MW1
271.775	-19.88917	MW1
264.31667	-15.75778	MW1
276.24167	-22.145	MW1
272.21667	-20.105	MW1
274.3	-21.15278	MW1
272.2375	-20.0925	MW1
272.25417	-20.08528	MW1
272.24583	-20.08556	MW1
276.56667	-22.23722	MW1
272.375	-20.13278	MW1
273.4875	-20.70194	MW1
269.44583	-18.5325	MW1
270.10417	-18.85083	MW1
272.15833	-19.89917	MW1
272.30417	-19.95972	MW1
272.15417	-19.88667	MW1
272.175	-19.89528	MW1
272.09167	-19.82972	MW1
272.15833	-19.86917	MW1
268.85417	-17.99667	MW1
272.60833	-19.95056	MW1
272.61667	-19.95278	MW1
272.62083	-19.93472	MW1
272.5625	-19.89889	MW1
273.66667	-20.45056	MW1
267.12083	-16.90639	MW1
272.48333	-19.80528	MW1
268.45417	-17.59167	MW1
271.88333	-19.4325	MW1
272.79583	-19.86333	MW1
275.35833	-21.08528	MW1
274.79583	-20.78806	MW1
272.29167	-19.47722	MW1
276.42917	-21.51278	MW1
276.05	-21.25889	MW1
269.15833	-17.66611	MW1
241.41667	-20.50694	MW1
270.13333	-18.18083	MW1
272.725	-19.545	MW1
268.89583	-17.42361	MW1
273.48333	-19.85667	MW1
274.49167	-20.35639	MW1
272.88333	-19.51028	MW1
271.36667	-18.72028	MW1
272.45417	-19.27722	MW1
272.67917	-19.34417	MW1
276.85833	-21.41611	MW1
269.42917	-17.5875	MW1
272.58333	-19.27667	MW1
273.1625	-19.55472	MW1
301.225	-30.35056	MW1
274.71667	-20.27333	MW1
270.36667	-17.94667	MW1
271.04167	-18.27306	MW1
274.22083	-19.89194	MW1
277.8875	-21.65139	MW1
274.275	-19.86944	MW1
274.24167	-19.78278	MW1
276.075	-20.69083	MW1
274.0875	-19.69194	MW1
269.95833	-17.44444	MW1
274.39583	-19.7	MW1
274.42083	-19.67722	MW1
272.95	-18.85167	MW1
274.325	-19.5425	MW1
255.875	-8.85361	MW1
269.3375	-16.86806	MW1
272.32083	-18.46861	MW1
263.98333	-13.8	MW1
274.64583	-19.63694	MW1
258.52083	-10.47222	MW1
272.2625	-18.39222	MW1
271.9375	-18.20222	MW1
270.29167	-17.32889	MW1
272.1	-18.29222	MW1
271.49583	-17.89556	MW1
269.84167	-16.99583	MW1
272.23333	-18.26583	MW1
272.13333	-18.14222	MW1
273.5875	-18.92417	MW1
273.5	-18.885	MW1
267.80833	-15.80722	MW1
273.3375	-18.79	MW1
273.82083	-19	MW1
274.29167	-19.23083	MW1
277.38333	-20.76222	MW1
273.72083	-18.93222	MW1
273.91667	-18.96111	MW1
273.12083	-18.49056	MW1
275.0125	-19.42167	MW1
268.79167	-16.06889	MW1
273.17083	-18.41528	MW1
266.475	-14.65972	MW1
274.525	-18.975	MW1
278	-20.6775	MW1
276.4	-19.88833	MW1
274.3	-18.825	MW1
274.39167	-18.86389	MW1
276.175	-19.71806	MW1
293.38333	-26.89722	MW1
273.69583	-18.43889	MW1
272.7125	-17.93056	MW1
274.2125	-18.69778	MW1
274.21667	-18.68333	MW1
274.28333	-18.7	MW1
278.1375	-20.58694	MW1
275.65417	-19.36778	MW1
272.59167	-17.76639	MW1
272.42917	-17.63361	MW1
284.13333	-23.20333	MW1
277.8125	-20.26639	MW1
269.37917	-15.88	MW1
272.72917	-17.69028	MW1
267.94583	-15.04222	MW1
273.53333	-18.00583	MW1
274.14167	-18.31111	MW1
274.05833	-18.26389	MW1
273.47917	-17.94861	MW1
273.35	-17.89167	MW1
273.05	-17.7025	MW1
273.55417	-17.93194	MW1
272.97917	-17.62389	MW1
275.2125	-18.75	MW1
272.88333	-17.55194	MW1
271.9875	-17.04556	MW1
274.6125	-18.40444	MW1
273.675	-17.9	MW1
272.97083	-17.53361	MW1
283.775	-22.70083	MW1
272.98333	-17.51472	MW1
272.9625	-17.52167	MW1
273.66667	-17.86861	MW1
274.96667	-18.5175	MW1
272.97917	-17.49917	MW1
275.5125	-18.73806	MW1
269.82083	-15.74139	MW1
275.60833	-18.74417	MW1
282.53333	-22.01667	MW1
275.9625	-18.91194	MW1
273.575	-17.69611	MW1
273.79583	-17.74306	MW1
272.79583	-17.12	MW1
273.52083	-17.47778	MW1
270.475	-15.815	MW1
269.26667	-15.14	MW1
213.725	18.55833	MW1
290.55	-25.01	MW1
276.5125	-18.87194	MW1
292.46667	-25.66667	MW1
278.87083	-19.96972	MW1
273.58333	-17.32194	MW1
275.1625	-18.1025	MW1
273.60417	-17.29278	MW1
272.74583	-16.82167	MW1
272.6125	-16.73639	MW1
252.575	-4.78361	MW1
272.97083	-16.72722	MW1
274.52083	-17.47806	MW1
271.74167	-16.01556	MW1
277.94167	-19.12222	MW1
277.15833	-18.73278	MW1
